29, IP, 16, 0
30, DL, 5, 0
30, IP, 8, 0
27, NC, 24, 8
28, DV, 21, 0
28, DL, 15, 0
24, IO, 98, 32
29, WK, 38, 0
30, NC, 6, 0
30, DL, 5, 0
27, IP, 32, 6
27, ZJ, 100, 0
29, NC, 12, 0
29, SB, 48, 0
29, DL, 10, 0
28, PD, 27, 0
30, WK, 19, 0
30, SB, 24, 0
27, CW, 60, 24
23, UF, 144, 100
28, WK, 57, 0
30, ZJ, 25, 0
30, DL, 5, 0
30, IO, 14, 0
27, NC, 24, 14
29, DV, 14, 0
30, NC, 6, 0
30, DV, 7, 0
27, DL, 20, 7
30, PD, 9, 0
29, IO, 28, 0
28, UF, 54, 0
24, IP, 56, 54
29, SB, 48, 0
28, PD, 27, 0
30, CW, 15, 0
27, UF, 72, 0
29, IP, 16, 0
23, ZJ, 200, 72
30, DV, 7, 0
29, DL, 10, 0
29, IO, 28, 0
29, IP, 16, 0
26, NC, 30, 28
29, DL, 10, 0
30, PD, 9, 0
30, IO, 14, 0
30, NC, 6, 0
26, DV, 35, 14
30, PD, 9, 0
26, CL, 80, 9
30, CF, 12, 0
28, PD, 27, 0
30, WK, 19, 0
27, CW, 60, 19
30, UF, 18, 0
29, WK, 38, 0
30, ZJ, 25, 0
24, SB, 168, 79
30, IO, 14, 0
29, IP, 16, 0
29, NC, 12, 0
29, DV, 14, 0
26, DL, 25, 16
30, WK, 19, 0
30, SB, 24, 0
27, CW, 60, 24
30, IO, 14, 0
28, UF, 54, 0
29, WK, 38, 0
29, IP, 16, 0
28, ZJ, 75, 0
30, NC, 6, 0
30, DL, 5, 0
27, DV, 28, 5
27, CL, 64, 0
30, CW, 15, 0
27, SB, 96, 15
29, DL, 10, 0
23, PD, 72, 111
30, UF, 18, 0
29, WK, 38, 0
29, SB, 48, 0
30, PD, 9, 0
26, CW, 75, 48
28, IO, 42, 0
20, OD, 143, 272
28, WK, 57, 0
29, NC, 12, 0
29, DL, 10, 0
30, OD, 13, 0
26, IP, 40, 13
29, OD, 26, 0
26, ZJ, 125, 26
28, NC, 18, 0
30, DV, 7, 0
30, CL, 16, 0
28, SB, 72, 0
28, DL, 15, 0
30, OD, 13, 0
27, PD, 36, 13
29, WK, 38, 0
29, SB, 48, 0
30, PD, 9, 0
26, CW, 75, 48
30, IO, 14, 0
29, IP, 16, 0
28, ZJ, 75, 0
29, SB, 48, 0
28, PD, 27, 0
25, OD, 78, 75
22, UF, 162, 153
28, SB, 72, 0
29, PD, 18, 0
30, UF, 18, 0
29, SB, 48, 0
30, PD, 9, 0
26, CW, 75, 48
29, UF, 36, 0
23, WK, 152, 123
29, ZJ, 50, 0
30, DV, 7, 0
29, DL, 10, 0
29, IO, 28, 0
26, NC, 30, 28
28, DV, 21, 0
30, SB, 24, 0
30, IO, 14, 0
29, NC, 12, 0
29, DV, 14, 0
